Date_Key,Date,Day,Week_No,Month,Month_No,Quarter,Year
20051125,25-11-2005,Friday,48,Nov,11,4,2005
20051126,26-11-2005,Saturday,48,Nov,11,4,2005
20051127,27-11-2005,Sunday,49,Nov,11,4,2005
20051128,28-11-2005,Monday,49,Nov,11,4,2005
20051129,29-11-2005,Tuesday,49,Nov,11,4,2005
20051130,30-11-2005,Wednesday,49,Nov,11,4,2005
20051201,01-12-2005,Thursday,49,Dec,12,4,2005
20051202,02-12-2005,Friday,49,Dec,12,4,2005
20051203,03-12-2005,Saturday,49,Dec,12,4,2005
20051204,04-12-2005,Sunday,50,Dec,12,4,2005
20051205,05-12-2005,Monday,50,Dec,12,4,2005
20051206,06-12-2005,Tuesday,50,Dec,12,4,2005
20051207,07-12-2005,Wednesday,50,Dec,12,4,2005
20051208,08-12-2005,Thursday,50,Dec,12,4,2005
20051209,09-12-2005,Friday,50,Dec,12,4,2005
20051210,10-12-2005,Saturday,50,Dec,12,4,2005
20051211,11-12-2005,Sunday,51,Dec,12,4,2005
20051212,12-12-2005,Monday,51,Dec,12,4,2005
20051213,13-12-2005,Tuesday,51,Dec,12,4,2005
20051214,14-12-2005,Wednesday,51,Dec,12,4,2005
20051215,15-12-2005,Thursday,51,Dec,12,4,2005
20051216,16-12-2005,Friday,51,Dec,12,4,2005
20051217,17-12-2005,Saturday,51,Dec,12,4,2005
20051218,18-12-2005,Sunday,52,Dec,12,4,2005
20051219,19-12-2005,Monday,52,Dec,12,4,2005
20051220,20-12-2005,Tuesday,52,Dec,12,4,2005
20051221,21-12-2005,Wednesday,52,Dec,12,4,2005
20051222,22-12-2005,Thursday,52,Dec,12,4,2005
20051223,23-12-2005,Friday,52,Dec,12,4,2005
20051224,24-12-2005,Saturday,52,Dec,12,4,2005
20051225,25-12-2005,Sunday,53,Dec,12,4,2005
20051226,26-12-2005,Monday,53,Dec,12,4,2005
20051227,27-12-2005,Tuesday,53,Dec,12,4,2005
20051228,28-12-2005,Wednesday,53,Dec,12,4,2005
20051229,29-12-2005,Thursday,53,Dec,12,4,2005
20051230,30-12-2005,Friday,53,Dec,12,4,2005
20051231,31-12-2005,Saturday,53,Dec,12,4,2005
20060101,01-01-2006,Sunday,1,Jan,1,1,2006
20060102,02-01-2006,Monday,1,Jan,1,1,2006
20060103,03-01-2006,Tuesday,1,Jan,1,1,2006
20060104,04-01-2006,Wednesday,1,Jan,1,1,2006
20060105,05-01-2006,Thursday,1,Jan,1,1,2006
20060106,06-01-2006,Friday,1,Jan,1,1,2006
20060107,07-01-2006,Saturday,1,Jan,1,1,2006
20060108,08-01-2006,Sunday,2,Jan,1,1,2006
20060109,09-01-2006,Monday,2,Jan,1,1,2006
20060110,10-01-2006,Tuesday,2,Jan,1,1,2006
20060111,11-01-2006,Wednesday,2,Jan,1,1,2006
20060112,12-01-2006,Thursday,2,Jan,1,1,2006
20060113,13-01-2006,Friday,2,Jan,1,1,2006
20060114,14-01-2006,Saturday,2,Jan,1,1,2006
20060115,15-01-2006,Sunday,3,Jan,1,1,2006
20060116,16-01-2006,Monday,3,Jan,1,1,2006
20060117,17-01-2006,Tuesday,3,Jan,1,1,2006
20060118,18-01-2006,Wednesday,3,Jan,1,1,2006
20060119,19-01-2006,Thursday,3,Jan,1,1,2006
20060120,20-01-2006,Friday,3,Jan,1,1,2006
20060121,21-01-2006,Saturday,3,Jan,1,1,2006
20060122,22-01-2006,Sunday,4,Jan,1,1,2006
20060123,23-01-2006,Monday,4,Jan,1,1,2006
20060124,24-01-2006,Tuesday,4,Jan,1,1,2006
20060125,25-01-2006,Wednesday,4,Jan,1,1,2006
20060126,26-01-2006,Thursday,4,Jan,1,1,2006
20060127,27-01-2006,Friday,4,Jan,1,1,2006
20060128,28-01-2006,Saturday,4,Jan,1,1,2006
20060129,29-01-2006,Sunday,5,Jan,1,1,2006
20060130,30-01-2006,Monday,5,Jan,1,1,2006
20060131,31-01-2006,Tuesday,5,Jan,1,1,2006
20060201,01-02-2006,Wednesday,5,Feb,2,1,2006
20060202,02-02-2006,Thursday,5,Feb,2,1,2006
20060203,03-02-2006,Friday,5,Feb,2,1,2006
20060204,04-02-2006,Saturday,5,Feb,2,1,2006
20060205,05-02-2006,Sunday,6,Feb,2,1,2006
20060206,06-02-2006,Monday,6,Feb,2,1,2006
20060207,07-02-2006,Tuesday,6,Feb,2,1,2006
20060208,08-02-2006,Wednesday,6,Feb,2,1,2006
20060209,09-02-2006,Thursday,6,Feb,2,1,2006
20060210,10-02-2006,Friday,6,Feb,2,1,2006
20060211,11-02-2006,Saturday,6,Feb,2,1,2006
20060212,12-02-2006,Sunday,7,Feb,2,1,2006
20060213,13-02-2006,Monday,7,Feb,2,1,2006
20060214,14-02-2006,Tuesday,7,Feb,2,1,2006
20060215,15-02-2006,Wednesday,7,Feb,2,1,2006
20060216,16-02-2006,Thursday,7,Feb,2,1,2006
20060217,17-02-2006,Friday,7,Feb,2,1,2006
20060218,18-02-2006,Saturday,7,Feb,2,1,2006
20060219,19-02-2006,Sunday,8,Feb,2,1,2006
20060220,20-02-2006,Monday,8,Feb,2,1,2006
20060221,21-02-2006,Tuesday,8,Feb,2,1,2006
20060222,22-02-2006,Wednesday,8,Feb,2,1,2006
20060223,23-02-2006,Thursday,8,Feb,2,1,2006
20060224,24-02-2006,Friday,8,Feb,2,1,2006
20060225,25-02-2006,Saturday,8,Feb,2,1,2006
20060226,26-02-2006,Sunday,9,Feb,2,1,2006
20060227,27-02-2006,Monday,9,Feb,2,1,2006
20060228,28-02-2006,Tuesday,9,Feb,2,1,2006
20060301,01-03-2006,Wednesday,9,Mar,3,1,2006
20060302,02-03-2006,Thursday,9,Mar,3,1,2006
20060303,03-03-2006,Friday,9,Mar,3,1,2006
20060304,04-03-2006,Saturday,9,Mar,3,1,2006
20060305,05-03-2006,Sunday,10,Mar,3,1,2006
20060306,06-03-2006,Monday,10,Mar,3,1,2006
20060307,07-03-2006,Tuesday,10,Mar,3,1,2006
20060308,08-03-2006,Wednesday,10,Mar,3,1,2006
20060309,09-03-2006,Thursday,10,Mar,3,1,2006
20060310,10-03-2006,Friday,10,Mar,3,1,2006
20060311,11-03-2006,Saturday,10,Mar,3,1,2006
20060312,12-03-2006,Sunday,11,Mar,3,1,2006
20060313,13-03-2006,Monday,11,Mar,3,1,2006
20060314,14-03-2006,Tuesday,11,Mar,3,1,2006
20060315,15-03-2006,Wednesday,11,Mar,3,1,2006
20060316,16-03-2006,Thursday,11,Mar,3,1,2006
20060317,17-03-2006,Friday,11,Mar,3,1,2006
20060318,18-03-2006,Saturday,11,Mar,3,1,2006
20060319,19-03-2006,Sunday,12,Mar,3,1,2006
20060320,20-03-2006,Monday,12,Mar,3,1,2006
20060321,21-03-2006,Tuesday,12,Mar,3,1,2006
20060322,22-03-2006,Wednesday,12,Mar,3,1,2006
20060323,23-03-2006,Thursday,12,Mar,3,1,2006
20060324,24-03-2006,Friday,12,Mar,3,1,2006
20060325,25-03-2006,Saturday,12,Mar,3,1,2006
20060326,26-03-2006,Sunday,13,Mar,3,1,2006
20060327,27-03-2006,Monday,13,Mar,3,1,2006
20060328,28-03-2006,Tuesday,13,Mar,3,1,2006
20060329,29-03-2006,Wednesday,13,Mar,3,1,2006
20060330,30-03-2006,Thursday,13,Mar,3,1,2006
20060331,31-03-2006,Friday,13,Mar,3,1,2006
20060401,01-04-2006,Saturday,13,Apr,4,2,2006
20060402,02-04-2006,Sunday,14,Apr,4,2,2006
20060403,03-04-2006,Monday,14,Apr,4,2,2006
20060404,04-04-2006,Tuesday,14,Apr,4,2,2006
20060405,05-04-2006,Wednesday,14,Apr,4,2,2006
20060406,06-04-2006,Thursday,14,Apr,4,2,2006
20060407,07-04-2006,Friday,14,Apr,4,2,2006
20060408,08-04-2006,Saturday,14,Apr,4,2,2006
20060409,09-04-2006,Sunday,15,Apr,4,2,2006
20060410,10-04-2006,Monday,15,Apr,4,2,2006
20060411,11-04-2006,Tuesday,15,Apr,4,2,2006
20060412,12-04-2006,Wednesday,15,Apr,4,2,2006
20060413,13-04-2006,Thursday,15,Apr,4,2,2006
20060414,14-04-2006,Friday,15,Apr,4,2,2006
20060415,15-04-2006,Saturday,15,Apr,4,2,2006
20060416,16-04-2006,Sunday,16,Apr,4,2,2006
20060417,17-04-2006,Monday,16,Apr,4,2,2006
20060418,18-04-2006,Tuesday,16,Apr,4,2,2006
20060419,19-04-2006,Wednesday,16,Apr,4,2,2006
20060420,20-04-2006,Thursday,16,Apr,4,2,2006
20060421,21-04-2006,Friday,16,Apr,4,2,2006
20060422,22-04-2006,Saturday,16,Apr,4,2,2006
20060423,23-04-2006,Sunday,17,Apr,4,2,2006
20060424,24-04-2006,Monday,17,Apr,4,2,2006
20060425,25-04-2006,Tuesday,17,Apr,4,2,2006
